frame_index,shape,color_mask,cx,cy,area
0,quadrilateral,red,368,236,30089
0,circle,yellow,1056,190,33056
0,triangle,blue,607,722,20849
0,pentagon,magenta,1365,772,36432
0,pentagon,bright_green,1737,391,26855
1,quadrilateral,red,368,236,30089
1,circle,yellow,1013,185,32992
1,triangle,blue,607,722,20849
1,pentagon,magenta,1365,772,36432
1,quadrilateral,bright_green,1748,429,26917
2,quadrilateral,red,368,236,30089
2,circle,yellow,969,183,32947
2,triangle,blue,607,722,20849
2,pentagon,magenta,1365,772,36432
2,quadrilateral,bright_green,1758,467,26813
3,quadrilateral,red,368,236,30089
3,circle,yellow,926,189,33017
3,triangle,blue,607,722,20849
3,pentagon,magenta,1365,772,36432
3,quadrilateral,bright_green,1768,505,27091
4,quadrilateral,red,368,236,30089
4,circle,yellow,887,200,33013
4,triangle,blue,607,722,20849
4,pentagon,magenta,1365,772,36432
4,quadrilateral,bright_green,1777,543,27109
5,quadrilateral,red,368,236,30089
5,circle,yellow,857,218,33001
5,triangle,blue,607,722,20849
5,pentagon,magenta,1365,772,36432
5,quadrilateral,bright_green,1787,579,26751
6,quadrilateral,red,368,236,30089
6,circle,yellow,833,239,32964
6,triangle,blue,607,722,20849
6,pentagon,magenta,1365,772,36432
6,quadrilateral,bright_green,1800,617,26827
7,quadrilateral,red,368,236,30089
7,circle,yellow,813,261,32968
7,triangle,blue,607,722,20849
7,pentagon,magenta,1365,772,36432
7,quadrilateral,bright_green,1814,654,26567
8,quadrilateral,red,368,236,30089
8,circle,yellow,797,284,32996
8,triangle,blue,607,722,20849
8,pentagon,magenta,1365,772,36432
8,quadrilateral,bright_green,1825,690,25360
9,quadrilateral,red,368,236,30089
9,circle,yellow,782,307,33029
9,triangle,blue,607,722,20854
9,pentagon,magenta,1365,772,36432
9,quadrilateral,bright_green,1833,727,23243
10,quadrilateral,red,368,236,30089
10,circle,yellow,767,331,32973
10,triangle,blue,607,722,20854
10,pentagon,magenta,1365,772,36428
10,quadrilateral,bright_green,1839,763,21739
11,quadrilateral,red,368,236,30089
11,circle,yellow,755,355,32974
11,triangle,blue,607,722,20858
11,pentagon,magenta,1365,772,36420
11,quadrilateral,bright_green,1846,801,19807
12,quadrilateral,red,368,236,30089
12,circle,yellow,746,379,33018
12,triangle,blue,607,722,20858
12,pentagon,magenta,1365,772,36423
12,quadrilateral,bright_green,1853,840,17726
13,quadrilateral,red,368,236,30089
13,circle,yellow,738,403,33010
13,triangle,blue,607,722,20866
13,pentagon,magenta,1365,772,36423
13,quadrilateral,bright_green,1861,876,15435
14,quadrilateral,red,368,236,30089
14,circle,yellow,732,428,33048
14,triangle,blue,607,722,20866
14,pentagon,magenta,1365,772,36427
14,quadrilateral,bright_green,1869,873,13223
15,quadrilateral,red,368,236,30089
15,circle,yellow,728,453,33001
15,triangle,blue,607,722,20866
15,pentagon,magenta,1365,772,36419
15,quadrilateral,bright_green,1876,835,11393
16,quadrilateral,red,368,236,30089
16,circle,yellow,726,477,32990
16,triangle,blue,607,722,20878
16,pentagon,magenta,1365,772,36427
16,quadrilateral,bright_green,1884,801,9205
17,quadrilateral,red,368,236,30089
17,circle,yellow,723,502,33022
17,triangle,blue,607,722,20888
17,pentagon,magenta,1365,772,36408
17,quadrilateral,bright_green,1892,767,6953
18,quadrilateral,red,368,236,30089
18,circle,yellow,724,527,33018
18,triangle,blue,607,722,20888
18,pentagon,magenta,1365,772,36402
18,quadrilateral,bright_green,1900,732,4633
19,quadrilateral,red,368,236,30089
19,circle,yellow,725,552,32991
19,triangle,blue,608,722,20887
19,pentagon,magenta,1365,772,36428
19,quadrilateral,bright_green,1907,708,2458
20,quadrilateral,red,368,236,30089
20,circle,yellow,726,577,32990
20,triangle,blue,608,722,20895
20,pentagon,magenta,1365,772,36426
20,quadrilateral,bright_green,1912,692,618
21,quadrilateral,red,367,236,29965
21,circle,yellow,727,602,32963
21,triangle,blue,607,722,20794
21,pentagon,magenta,1365,772,36428
22,quadrilateral,red,367,236,29968
22,circle,yellow,728,627,32972
22,quadrilateral,blue,606,724,19860
22,pentagon,magenta,1365,772,36434
23,quadrilateral,red,367,236,29968
23,circle,yellow,729,651,32944
23,quadrilateral,blue,602,725,18462
23,pentagon,magenta,1365,772,36443
24,quadrilateral,red,367,236,29968
24,circle,yellow,726,676,32992
24,quadrilateral,blue,593,723,16170
24,pentagon,magenta,1365,772,36433
25,quadrilateral,red,367,236,29968
25,circle,yellow,719,701,32946
25,pentagon,blue,584,718,13771
25,pentagon,magenta,1365,772,36459
26,quadrilateral,red,367,236,29968
26,circle,yellow,706,724,32981
26,pentagon,blue,578,713,11888
26,pentagon,magenta,1365,772,36474
27,quadrilateral,red,367,236,29968
27,circle,yellow,682,745,32954
27,pentagon,blue,572,706,9153
27,pentagon,magenta,1365,772,36481
28,quadrilateral,red,367,236,29968
28,circle,yellow,650,762,32952
28,pentagon,blue,574,689,5980
28,pentagon,magenta,1365,772,36526
29,quadrilateral,red,367,237,29874
29,circle,yellow,611,774,32981
29,quadrilateral,blue,608,645,3575
29,pentagon,magenta,1365,772,36580
30,quadrilateral,red,366,237,29961
30,circle,yellow,570,783,32966
30,pentagon,blue,636,687,7854
30,pentagon,magenta,1365,771,36562
31,quadrilateral,red,366,237,29961
31,circle,yellow,527,789,32947
31,pentagon,blue,632,704,12968
31,pentagon,magenta,1365,771,36564
32,quadrilateral,red,366,237,29961
32,circle,yellow,485,792,32960
32,quadrilateral,blue,623,713,16964
32,pentagon,magenta,1365,772,36562
33,quadrilateral,red,366,237,29961
33,circle,yellow,444,783,33009
33,quadrilateral,blue,615,718,19590
33,pentagon,magenta,1365,771,36309
34,quadrilateral,red,366,237,29961
34,circle,yellow,404,773,33008
34,triangle,blue,609,721,21024
34,pentagon,magenta,1365,771,36339
35,quadrilateral,red,366,237,29961
35,circle,yellow,371,756,33006
35,triangle,blue,609,721,21041
35,pentagon,magenta,1365,770,36352
36,quadrilateral,red,366,237,29924
36,circle,yellow,346,736,33040
36,triangle,blue,609,721,21075
36,pentagon,magenta,1365,770,36426
37,quadrilateral,red,366,237,29924
37,circle,yellow,327,714,32994
37,triangle,blue,609,721,21112
37,pentagon,magenta,1365,770,36442
38,quadrilateral,red,366,237,29924
38,circle,yellow,312,690,33030
38,triangle,blue,609,720,20749
38,pentagon,magenta,1365,770,36473
39,quadrilateral,red,366,237,29924
39,circle,yellow,301,666,32996
39,triangle,blue,610,720,20765
39,pentagon,magenta,1364,770,36470
40,quadrilateral,red,364,237,29971
40,circle,yellow,294,642,33030
40,triangle,blue,610,720,20781
40,pentagon,magenta,1364,770,36522
41,quadrilateral,red,364,237,29962
41,circle,yellow,288,617,32997
41,triangle,blue,610,720,20805
41,pentagon,magenta,1365,770,36570
42,quadrilateral,red,364,237,29962
42,circle,yellow,283,592,33021
42,triangle,blue,610,719,20869
42,pentagon,magenta,1365,770,36572
43,quadrilateral,red,364,237,29962
43,circle,yellow,279,568,33000
43,triangle,blue,610,719,20899
43,pentagon,magenta,1364,769,36346
